year,player,team,pos,position_group,minutes_per_game,points_per_game,points_per_36,fga_per_game,efg_pct,assists_per_36,rebounds_per_36,stocks_per_36,turnovers_per_36,role_category_count,win_pct,team_success_bucket,profile_group,efficient_lower_shot_label,defensive_event_profile
2010,A.J. Price,IND,PG,Guard,15.4,7.3,17.065,6.3,0.494,4.442,3.74,1.636,2.571,3,0.39,Low-winning teams,Mixed profile,Other core player,Other core player
2010,Aaron Brooks,HOU,PG,Guard,35.6,19.6,19.82,16.2,0.511,5.36,2.629,1.011,2.831,2,0.512,Middle-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Al Harrington,NYK,PF,Big,30.5,17.7,20.892,14.3,0.503,1.77,6.61,1.534,2.125,2,0.354,Low-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Al Horford,ATL,C,Big,35.1,14.2,14.564,10.5,0.552,2.359,10.154,1.846,1.538,4,0.646,High-winning teams,Balanced profile,Other core player,"Top scorer, not top steals + blocks"
2010,Al Jefferson,MIN,C,Big,32.4,17.1,19.0,14.8,0.498,2.0,10.333,2.333,2.0,3,0.183,Low-winning teams,Mixed profile,Other core player,Top steals + blocks + top scorer
2010,Al Thornton,WAS,SF,Wing,27.7,10.7,13.906,9.0,0.482,1.56,5.069,1.43,1.819,1,0.317,Low-winning teams,Narrow profile,Other core player,Other core player
2010,Allen Iverson,PHI,SG-PG,Guard,30.9,13.8,16.078,11.3,0.445,4.66,3.262,0.932,2.68,2,0.329,Low-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Amar'e Stoudemire,PHO,PF,Big,34.6,23.1,24.035,15.4,0.557,1.04,9.26,1.665,2.705,4,0.659,High-winning teams,Balanced profile,Other core player,"Top scorer, not top steals + blocks"
2010,Amir Johnson,TOR,PF,Big,17.7,6.2,12.61,4.1,0.623,1.22,9.763,2.644,1.627,3,0.488,Middle-winning teams,Mixed profile,Efficient lower-shot player,"Top steals + blocks, not top scorer"
2010,Anderson Varejao,CLE,PF,Big,28.5,8.6,10.863,6.1,0.573,1.389,9.6,2.274,1.137,4,0.744,High-winning teams,Balanced profile,Efficient lower-shot player,Other core player
2010,Andray Blatche,WAS,PF,Big,27.9,14.1,18.194,12.3,0.485,2.71,8.129,2.452,2.839,5,0.317,Low-winning teams,Balanced profile,Other core player,Top steals + blocks + top scorer
2010,Andre Iguodala,PHI,SF,Wing,38.9,17.1,15.825,13.7,0.485,5.368,6.015,2.221,2.499,5,0.329,Low-winning teams,Balanced profile,Other core player,"Top scorer, not top steals + blocks"
2010,Andre Miller,POR,PG,Guard,30.5,14.0,16.525,11.1,0.454,6.374,3.777,1.416,2.479,3,0.61,High-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Andrei Kirilenko,UTA,SF,Wing,29.0,11.9,14.772,8.3,0.533,3.352,5.71,3.228,1.738,6,0.646,High-winning teams,Balanced profile,Other core player,"Top steals + blocks, not top scorer"
2010,Andres Nocioni,SAC,SF,Wing,19.7,8.5,15.533,7.8,0.48,1.827,5.482,1.279,1.645,2,0.305,Low-winning teams,Mixed profile,Other core player,Other core player
2010,Andrew Bogut,MIL,C,Big,32.3,15.9,17.721,13.2,0.52,2.006,11.368,3.455,2.118,4,0.561,Middle-winning teams,Balanced profile,Other core player,Top steals + blocks + top scorer
2010,Andrew Bynum,LAL,C,Big,30.4,15.0,17.763,10.6,0.57,1.184,9.829,2.25,2.132,4,0.695,High-winning teams,Balanced profile,Other core player,"Top scorer, not top steals + blocks"
2010,Andris Biedrins,GSW,C,Big,23.1,5.0,7.792,4.2,0.591,2.649,12.156,2.961,1.558,4,0.317,Low-winning teams,Balanced profile,Efficient lower-shot player,"Top steals + blocks, not top scorer"
2010,Antawn Jamison,CLE,PF,Big,36.5,18.7,18.444,15.7,0.502,1.282,8.285,1.381,1.381,3,0.744,High-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Anthony Carter,DEN,PG,Guard,15.9,3.3,7.472,3.4,0.467,6.792,3.623,2.038,2.491,2,0.646,High-winning teams,Mixed profile,Other core player,Other core player
2010,Anthony Johnson,ORL,PG,Guard,13.1,4.2,11.542,3.6,0.5,5.496,4.122,1.099,2.198,2,0.72,High-winning teams,Mixed profile,Other core player,Other core player
2010,Anthony Morrow,GSW,SG,Guard,29.2,13.0,16.027,10.2,0.568,1.849,4.685,1.356,1.479,3,0.317,Low-winning teams,Mixed profile,Other core player,Other core player
2010,Anthony Parker,CLE,SG,Guard,28.3,7.3,9.286,5.9,0.547,2.417,3.689,1.272,1.145,1,0.744,High-winning teams,Narrow profile,Efficient lower-shot player,Other core player
2010,Anthony Randolph,GSW,C,Big,22.7,11.6,18.396,9.4,0.445,2.062,10.308,3.648,2.379,4,0.317,Low-winning teams,Balanced profile,Other core player,"Top steals + blocks, not top scorer"
2010,Anthony Tolliver,GSW,PF,Big,31.0,11.7,13.587,9.8,0.486,2.206,8.129,1.626,1.161,2,0.317,Low-winning teams,Mixed profile,Other core player,Other core player
2010,Antoine Wright,TOR,SF,Wing,20.8,6.5,11.25,6.0,0.479,1.904,4.846,1.038,1.558,0,0.488,Middle-winning teams,Narrow profile,Other core player,Other core player
2010,Antonio McDyess,SAS,PF,Big,21.0,5.8,9.943,5.6,0.479,1.886,10.114,1.714,1.714,2,0.61,High-winning teams,Mixed profile,Other core player,Other core player
2010,Arron Afflalo,DEN,SG,Guard,27.1,8.8,11.69,7.1,0.557,2.258,4.118,1.328,1.196,1,0.646,High-winning teams,Narrow profile,Efficient lower-shot player,Other core player
2010,Austin Daye,DET,SF,Wing,13.3,5.1,13.805,4.3,0.514,1.353,6.767,2.165,1.895,4,0.329,Low-winning teams,Balanced profile,Efficient lower-shot player,Other core player
2010,Baron Davis,LAC,PG,Guard,33.6,15.3,16.393,13.5,0.446,8.571,3.75,2.464,3.0,4,0.354,Low-winning teams,Balanced profile,Other core player,Top steals + blocks + top scorer
2010,Ben Gordon,DET,SG,Guard,27.9,13.8,17.806,11.3,0.47,3.484,2.452,1.161,2.452,2,0.329,Low-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Ben Wallace,DET,C,Big,28.6,5.5,6.923,4.2,0.541,1.888,10.951,3.021,1.133,4,0.329,Low-winning teams,Balanced profile,Efficient lower-shot player,"Top steals + blocks, not top scorer"
2010,Beno Udrih,SAC,PG,Guard,31.4,12.9,14.79,10.6,0.538,5.389,3.21,1.376,1.949,4,0.305,Low-winning teams,Balanced profile,Other core player,Other core player
2010,Bobby Brown,LAC,PG,Guard,11.5,4.8,15.026,5.3,0.426,6.261,2.504,0.939,3.13,2,0.354,Low-winning teams,Mixed profile,Other core player,Other core player
2010,Bobby Simmons,NJN,PF,Big,17.2,5.3,11.093,5.1,0.444,1.465,5.651,1.674,1.674,1,0.146,Low-winning teams,Narrow profile,Other core player,Other core player
2010,Boris Diaw,CHA,PF,Big,35.4,11.3,11.492,9.4,0.525,4.068,5.288,1.424,2.237,3,0.537,Middle-winning teams,Mixed profile,Other core player,Other core player
2010,Brad Miller,CHI,C,Big,23.8,8.8,13.311,7.1,0.462,2.874,7.412,1.361,1.966,3,0.5,Middle-winning teams,Mixed profile,Other core player,Other core player
2010,Brandon Bass,ORL,PF,Big,13.0,5.8,16.062,4.7,0.511,1.108,6.923,1.938,1.662,3,0.72,High-winning teams,Mixed profile,Other core player,Other core player
2010,Brandon Jennings,MIL,PG,Guard,32.6,15.5,17.117,14.8,0.431,6.294,3.755,1.656,2.65,3,0.561,Middle-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Brandon Roy,POR,SG,Guard,37.2,21.5,20.806,16.0,0.508,4.548,4.258,1.065,1.935,2,0.61,High-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Brandon Rush,IND,SG,Guard,30.4,9.4,11.132,8.6,0.511,1.658,4.974,1.776,1.303,1,0.39,Low-winning teams,Narrow profile,Other core player,Other core player
2010,Brendan Haywood,DAL,C,Big,30.6,9.1,10.706,6.4,0.562,0.706,10.941,2.824,1.529,3,0.671,High-winning teams,Mixed profile,Efficient lower-shot player,"Top steals + blocks, not top scorer"
2010,Brook Lopez,NJN,C,Big,36.9,18.8,18.341,13.8,0.499,2.244,8.39,2.341,2.439,3,0.146,Low-winning teams,Mixed profile,Other core player,Top steals + blocks + top scorer
2010,C.J. Miles,UTA,SF,Wing,23.8,9.9,14.975,8.9,0.495,2.571,4.084,1.815,1.966,2,0.646,High-winning teams,Mixed profile,Other core player,Other core player
2010,C.J. Watson,GSW,PG,Guard,27.5,10.3,13.484,8.1,0.51,3.665,3.404,2.225,1.44,2,0.317,Low-winning teams,Mixed profile,Other core player,Other core player
2010,Carl Landry,SAC,PF,Big,30.9,16.8,19.573,11.6,0.537,0.932,6.874,1.748,1.981,4,0.305,Low-winning teams,Balanced profile,Other core player,"Top scorer, not top steals + blocks"
2010,Carlos Arroyo,MIA,PG,Guard,22.0,6.1,9.982,5.2,0.484,5.073,2.945,0.982,1.309,1,0.573,Middle-winning teams,Narrow profile,Other core player,Other core player
2010,Carlos Boozer,UTA,PF,Big,34.3,19.5,20.466,14.1,0.562,3.359,11.755,1.679,2.834,5,0.646,High-winning teams,Balanced profile,Other core player,"Top scorer, not top steals + blocks"
2010,Carlos Delfino,MIL,SF,Wing,30.4,11.0,13.026,9.8,0.5,3.197,6.276,1.658,1.895,3,0.561,Middle-winning teams,Mixed profile,Other core player,Other core player
2010,Carmelo Anthony,DEN,SF,Wing,38.2,28.2,26.576,21.8,0.478,3.016,6.22,1.602,2.827,4,0.646,High-winning teams,Balanced profile,Other core player,"Top scorer, not top steals + blocks"
2010,Caron Butler,DAL,SF-SG,Guard,37.6,16.3,15.606,14.2,0.448,2.011,5.936,1.819,2.106,3,0.671,High-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Channing Frye,PHO,C,Big,27.0,11.2,14.933,8.7,0.573,1.867,7.067,2.267,1.2,4,0.659,High-winning teams,Balanced profile,Other core player,Other core player
2010,Charlie Bell,MIL,SG,Guard,22.7,6.5,10.308,6.2,0.464,2.379,3.013,1.11,1.269,0,0.561,Middle-winning teams,Narrow profile,Other core player,Other core player
2010,Charlie Villanueva,DET,PF,Big,23.7,11.9,18.076,10.6,0.499,1.063,7.139,1.975,1.367,3,0.329,Low-winning teams,Mixed profile,Other core player,Other core player
2010,Chase Budinger,HOU,SF,Wing,20.1,8.9,15.94,7.6,0.522,2.149,5.373,1.075,1.075,2,0.512,Middle-winning teams,Mixed profile,Other core player,Other core player
2010,Chauncey Billups,DEN,PG,Guard,34.1,19.5,20.587,13.2,0.499,5.912,3.273,1.267,2.534,3,0.646,High-winning teams,Mixed profile,Other core player,"Top scorer, not top steals + blocks"
2010,Chris Andersen,DEN,PF,Big,22.3,5.9,9.525,3.3,0.566,0.646,10.332,4.036,1.291,3,0.646,High-winning teams,Mixed profile,Efficient lower-shot player,"Top steals + blocks, not top scorer"
2010,Chris Bosh,TOR,C,Big,36.1,24.0,23.934,16.5,0.522,2.393,10.77,1.596,2.393,4,0.488,Middle-winning teams,Balanced profile,Other core player,"Top scorer, not top steals + blocks"
